	Genus	value1	value2	value3	value4
1	Blautia	-0.037666418	-0.393894869	-0.350510184	0.682564284
2	Dorea	-0.207041876	-0.181957796	-0.105196906	0.492488022
3	[Eubacterium] hallii group	-0.058769902	-0.238240619	-0.240654437	0.473764756
4	Romboutsia	-0.095905563	-0.230178931	-0.178137156	0.464728425
5	Marvinbryantia	-0.249998116	-0.072040056	-0.132778054	0.449903972
6	Streptococcus	-0.198689364	-0.071275687	-0.217549911	0.449286966
7	Clostridium sensu stricto 1	-0.17627499	-0.04641613	-0.188598036	0.378605851
8	Klebsiella	-0.18027865	-0.010954007	-0.212268467	0.363850385
9	Subdoligranulum	-0.272859532	0.132706228	-0.215911579	0.327340188
10	Coprococcus 1	-0.120777904	-0.141620664	-0.057168628	0.320120204
11	Peptococcus	-0.180948264	0.015781884	-0.18621607	0.319637154
12	Enterobacter	-0.122555888	-0.114464192	-0.080060296	0.310651197
13	Fusicatenibacter	0.145038875	-0.33322159	-0.196205924	0.30601172
14	Coprococcus 3	-0.122209297	-0.098522613	-0.095112651	0.304623861
15	Holdemanella	-0.223754791	0.045351269	-0.106196082	0.283285013
16	Collinsella	-0.120812882	0.032491582	-0.251032689	0.279060217
17	Ruminococcaceae UCG-004	-0.091504095	0.074581279	-0.347603843	0.270100829
18	[Ruminococcus] torques group	-0.056923179	-0.032450192	-0.235609324	0.260865915
19	Adlercreutzia	-0.024333338	-0.122270946	-0.158160054	0.260495996
20	Terrisporobacter	-0.036453449	-0.158125889	-0.085563976	0.260161892
