	Sample.id	Blautia	Bacteroides	Escherichia.Shigella	Streptococcus	Faecalibacterium	Clostridium.sensu.stricto.1	Ruminococcus.torques.group	Parabacteroides	Roseburia	Lachnoclostridium	Phascolarctobacterium	Ruminiclostridium.5	Romboutsia	Alistipes	Butyricicoccus	Subdoligranulum	Dorea	Eubacterium.coprostanoligenes.group	Ruminococcaceae.UCG.002	Ruminococcaceae.UCG.013	Eubacterium.hallii.group	Lachnospiraceae.NK4A136.group	Fusicatenibacter	Lachnospira	Ruminococcus.2	Collinsella	Agathobacter	Ruminococcus.1	Anaerostipes	Christensenellaceae.R.7.group	Erysipelotrichaceae.UCG.003	Eubacterium.eligens.group	Klebsiella	Desulfovibrio	Family.XIII.AD3011.group	Bilophila	Ruminococcaceae.UCG.005	Ruminococcaceae.NK4A214.group	Odoribacter	Coprococcus.3	Bifidobacterium	Ruminococcaceae.UCG.004	Sutterella	Prevotella.9	Eubacterium.ventriosum.group	Butyricimonas	Lactobacillus	Ruminiclostridium.9	Intestinibacter	Fusobacterium	Ruminococcus.gnavus.group	Veillonella	Lachnospiraceae.ND3007.group	Turicibacter	Coprococcus.1	Ruminococcaceae.UCG.014	Enterobacter	Ruminococcaceae.UCG.003	Holdemania	Flavonifractor	Oscillibacter	Marvinbryantia	Lachnospiraceae.UCG.006	Lachnospiraceae.UCG.010	Haemophilus	Actinomyces	Ruminococcus.gauvreauii.group	Terrisporobacter	Eubacterium.brachy.group	Coprococcus.2	Parasutterella	Lachnospiraceae.CAG.56	Family.XIII.UCG.001	Negativibacillus	Akkermansia	Slackia	Erysipelatoclostridium	Clostridium.innocuum.group	Barnesiella	Ruminococcaceae.UCG.010	Holdemanella	Enterococcus	Hungatella	Eubacterium.ruminantium.group	Rothia	Eggerthella	Lachnospiraceae.FCS020.group	Methanobrevibacter	Weissella	Peptococcus	Granulicatella	Tyzzerella.4	Eisenbergiella	Ruminococcaceae.GCA.900066225	Gemella	Prevotella.2	Megamonas	Intestinimonas	Ruminiclostridium.6	Dialister	Anaerotruncus	Lactococcus	Lachnospiraceae.UCG.001	Eubacterium	Candidatus.Soleaferrea	Rhodococcus	Megasphaera	Adlercreutzia	Paraprevotella	Faecalitalea	Lachnospiraceae.GCA.900066575	Cloacibacillus	Eubacterium.xylanophilum.group	Fournierella	Defluviitaleaceae.UCG.011	Staphylococcus	Eubacterium.nodatum.group	Lachnospiraceae.NC2004.group	Alloprevotella	Lachnospiraceae.UCG.004	Mailhella	Allisonella	Catabacter	Moryella	Paeniclostridium	Victivallis	Sellimonas	Raoultibacter	Mogibacterium	Lachnospiraceae.UCG.003	Acinetobacter	Pyramidobacter	Enterorhabdus	Solobacterium	Cellulosilyticum	Olsenella	Epulopiscium	Prevotellaceae.NK3B31.group	Phocea	Senegalimassilia	Parvimonas	Acidaminococcus	Citrobacter	Synergistes	Coprobacillus	Tyzzerella	Corynebacterium.1	Ezakiella	Porphyromonas	Howardella	Atopobium	Ruminococcaceae.CAG.352	Ruminococcaceae.UCG.009	Lachnospiraceae.UCG.008	Eubacterium.fissicatena.group	Peptostreptococcus	Comamonas	Hydrogenoanaerobacterium	Prevotellaceae.UCG.001	Eubacterium.oxidoreducens.group	Bacillus	Oribacterium	Coprobacter	Campylobacter	Pseudomonas	Methanosphaera	Tyzzerella.3	Kluyvera	Oscillospira	Corynebacterium	Prevotella.7	Mitsuokella	Dielma	Prevotella	Prevotellaceae.Ga6A1.group	Angelakisella	Leuconostoc	Oxalobacter	Succinivibrio	Anaerofustis	Shuttleworthia	Peptoniphilus	Sanguibacteroides	Faecalicoccus	Cetobacterium	Catenibacterium	Gordonibacter	Pygmaiobacter	Ruminiclostridium	Enorma	Clostridium.sensu.stricto.13	Chryseobacterium	Ruminococcaceae.UCG.008	Neisseria	Prevotellaceae.UCG.003	Acetanaerobacterium	Peptoclostridium	Anaerococcus	Enhydrobacter	Proteus	Paraclostridium	Anaerofilum	Harryflintia	Sarcina	Cutibacterium	chao1	pielou_e	shannon	LogFB	Group
1	100-117_1	0.087696724	0.299366525	0.000346432	0.005443928	0.141987528	0.039344749	0.001385727	0.003018905	0.066514897	0.017272097	0.001435217	0.000989805	0.002672474	0.00390973	0.015589429	0.011481738	0.008066911	0.002474513	0	0.022122142	0.016480253	0.046916757	0.017024646	0.006879145	0.010986836	0.000791844	0.0020291	0.005245967	0.014302682	0	0	0.01974661	0	0	0	0.000544393	0	0	0	0	0.015045036	0.001682669	0	0	0.004602593	0	0	0.000940315	0.013263387	0	0.001435217	0.003266357	0	0.001633178	0	0	0.011135306	0.000890825	0	0.000791844	0.001138276	0	0.004751064	0	0.005790359	0	0	0.010491933	0	0	0.001385727	0	0.000445412	0	0	0	0	0	0	0	0	0.000395922	0.000692864	0	0	0.000247451	0	0	0	0	0	0	0.001682669	0	0	0	0	0	0	0	0	0	0.023854301	0	0	0	0	0.000890825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005740869	0	0	0	0	0	0	0	0	0	0	0.000296942	0	0.000148471	0	0	0	0	0	0	0	0.001732159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0.78750576	5.476469651	1.653378964	100-117
3	100-117_2	0.007851146	0.315951895	0.036986612	0.000499206	0.001134559	0.09748128	0.00213297	0.023144997	0.001270706	0.013251645	0.004719764	0.000953029	0.037213524	0.004538235	0.000226912	0.002722941	0.000226912	0.004265941	0.031586113	0.000136147	0.005945087	0	0	0	0.000136147	0.001134559	0	0.000136147	0	0.028908555	0.000317676	0	0.016655321	0.005173587	0.006444293	0	0.004855911	0.004084411	0.002586794	0	0	0.002813705	0	0.000272294	0	0.000726118	0	0	0.020603585	0.030587701	0.010710234	0	0	0.00676197	0.000816882	0.011300204	0	0.001860676	0	0	0	0	0	0.001543	0	0.002042206	0	0.002178353	0	0	0	0.001815294	0.000181529	0	0	0	0.001951441	0.003358294	0	0.001996823	0	0.002405264	0.015293851	0	0	0.001633764	0	0.002632176	0	0	0	0.051735875	0.035897436	0	0.000181529	0.002722941	0	0.007533469	0.000499206	0.001406853	0	0.000953029	0	0	0	0	0	0	0	0	0	0.000453823	0	0	0	0	0	0	0.000816882	0	0	0	0	0	0.00503744	0	0	0.000408441	0	0	0	0	0	0	0.014749263	0	0.0007715	0	0	0.002269117	0.001225323	0	0	0	0	0	0	0.000499206	0.001906059	0	0	0.000181529	0	0	0	0.00136147	0	0.001089176	0	0	0	0	0	0	0	0	0	0	0	0	0.048786022	0	0	0	0	0	0	0	0.007624234	0	0	0.000680735	0.000136147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136147	0	195	0.695091294	5.287789074	1.141725267	100-117
4	100-117_4	0.0280311	0.11992868	0.354846253	0.001753771	0.00298141	0.022185198	0.005728984	0.022799018	0.000409213	0.000847656	0.007307378	0.002455279	0.016543903	0.024991231	0	0.000730738	0.009236525	0.011048755	0.020928329	0.000964574	0	0.000350754	0.003566	0	0.003302935	0.000263066	0	0.002601426	0	0.006488951	0	0.001256869	0.000730738	0.004413656	0.000643049	0.000759967	0.005056705	0.001958377	0.001403016	0.000204607	0.007102771	0.005612066	0.000496902	0	0	0.009996492	0.000730738	0.000233836	0.007482755	0.000496902	0	0	0	0.003887525	0.000438443	0	0	0	0.000292295	8.77E-05	0.002162984	0.000292295	0	0.000292295	0	0.000204607	0	0.000847656	0.000233836	0.001373787	0.000993803	0	0.000233836	0.001519935	0	0	0.000233836	0	0.008125804	0.001724541	0	0	0.001636853	0.001929148	0	0	0	0.000526131	0	0	0	0.01669005	0.001636853	0.000730738	0	0	0	0.00061382	0.003799836	0.004705951	0.000555361	0	0	0.000555361	0.000146148	0	0.000116918	0	0.000175377	0.000993803	0.000204607	0.00116918	0	0.001724541	0	0	0	0	5.85E-05	0	0.000409213	0	0	0	0.001052262	0	0.000467672	0	0.001023033	0	0.000146148	0.000906115	0	0	0.000175377	0.000321525	0.000350754	0	0	0	0	0	0	0.007804279	0	0	0	0.000321525	0.000263066	0	0	0	0	0	0	0	0	0.000555361	0	0	0	0.001139951	0	0	0.010493394	0	0	0	0	0	0	0	0.000759967	0.000379984	0	0.000467672	0	0	0	0	0	0	0.000116918	0.000175377	0	0	0	0	0	5.85E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325.5555556	0.681319181	5.685128853	1.318510397	100-117
5	100-117_5	0.021685698	0.078242614	0.330892519	0.000384044	0.050565825	0.019330227	0.003405192	0.040836704	0.005018178	0.001075324	0.021455272	0.001024118	0.005837472	0.008064929	0.001177736	0.00425009	0.007348046	0.037815556	0.058169901	0.000204824	0.002355471	0	0.000640074	0.013902402	0.012212607	0.000358441	0.016693123	0.005709458	0	0.024706846	0.000460853	0.016334682	0	0.002969942	0.000358441	0.001894618	0.013492754	0.001254545	0.006707973	0.001228942	0	0.008833018	0	0.003763634	0.001075324	0.001100927	0	0.000230427	0.004019663	0.000230427	0.000819294	7.68E-05	0.000819294	0	0.001894618	0.037661939	0	0.008039326	0.000179221	0.000332838	0.000384044	0.001228942	0	0.002022633	0	0	0	0.001638589	0.000204824	0.001894618	0.000460853	0.000819294	0.000384044	0	0.000102412	0.000332838	0	0.001024118	0	0.002585898	0.000972912	0.000102412	0	0.003277178	0	0.000742486	0	0.002713913	0	0	0	0	0.000256029	0	0	0.014798505	0	0.000716883	0.000179221	0	0.000153618	0	0.000281632	0	7.68E-05	0	0	0.000153618	0	0	0.000230427	0.000537662	0.003738031	0.000256029	0	0	0	0	0	0	0	0	0	0	0	0.000537662	0	0	0	0	0	0	0	0	0	0	0.0008705	0	0	0	0	0	0	0	0	0	0	0	0	0.000384044	0	0	0	0	0.000307235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000588868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005965487	0	243.1666667	0.708301718	5.61315831	1.972367201	100-117
6	100-117_6	0.024357305	0.179231177	0.11918198	0.00231515	0.041817393	0.013649737	0.006945449	0.015241403	0.020305793	0.000723484	0.02551488	0.000289394	0.014566151	0.042058554	0.00337626	0.0107558	0.008922973	0.00906767	0.029807553	0.001639898	0.007234843	0.016736603	0	0.001784595	0.002122221	0.002652776	0.030820431	0.002893937	0	0.018521198	0.000241161	0	0	0.004726764	0.0046303	0.000578787	0.013263879	0.003569189	0.010852265	0.001157575	0	0	0.002073988	0.042299715	0.007668934	0.010852265	0	0.000530555	0.002508079	0.000289394	0	0	0.000916413	0.00106111	0.001446969	0	9.65E-05	0.006077268	0	0	0.001495201	0.001446969	0.001832827	0.004244441	0	0	0.001639898	0.000241161	0	0.006463126	0	0	0.000337626	0.000819949	0	0	0	0	0.00062702	0.005932571	0.001736362	0	0	0.012347465	0	0	0.001543433	0.000868181	0	0.001157575	0	0	0	0	0.000530555	0	0	0.006463126	0.00337626	0	0	0	0	0	0	0	0	0	0	0	0	0.000144697	0.000241161	0	0.000144697	0	0	0	0.027106545	0	0.001109343	0	0	0	0.011961607	0.001012878	0	9.65E-05	0.000434091	0	0	0	0	0	9.65E-05	0	0	0	0	0.000241161	0	0	0	0	0	0	0	0	0	0	0	0	0.000192929	0	0	0	0	0.000241161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000385858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01307095	0	256.2	0.803004162	6.424033292	1.356600673	100-117
7	100-117_8	0.008138986	0.34680389	0.181455953	0.000944198	0.073175338	0.003550184	0.008346709	0.027570579	0.006968181	0.003890095	0.011802474	0.000604287	0.00090643	0.017713153	0.008913228	0.01884619	0.001151921	0.014521764	0.028552545	0.00018884	0.000755358	0.00343688	0.000339911	0.001586252	0.00715702	0.000302143	0.009574167	0.007308092	0.00018884	0.032744783	0.000358795	0.00462657	0	0.002379379	0.001359645	0.000321027	0.02175432	0.00381456	0.003115853	0	7.55E-05	0	0.002247191	7.55E-05	0.012010197	0.004230007	0.000698706	0.000944198	0.002133887	0.003606836	0.005042017	0	0.000434331	0.000453215	0	0.007232556	0	0.000604287	0.000169956	0.000434331	0.001397413	0	0.000453215	0.000755358	0	0	0	0.000113304	9.44E-05	0.002587102	0.001982816	0.000434331	0.000226607	0.000623171	0.000132188	0	0.00018884	0.003417996	0.001435181	0.001869512	0	0	0.002568218	0.003002549	0	0	0	0.001529601	0	0	0	0.00071759	0.001416297	9.44E-05	0	0	0	0.001567369	0.024643565	0	0	0	0.00018884	0	0	0	0.00090643	0	0	0	0.000132188	0.000434331	0	0.000169956	0.000113304	0	0	0	0	0	0.000339911	0	0	0.000113304	0.002247191	0.000339911	0	0	0	0.010820508	3.78E-05	0	0	0	0.000509867	0	0.000755358	0	0.000113304	0	0	0	0	0	0.000377679	0	0	0	0	0.000321027	0	0.000434331	0	0	0	0	0	0.000132188	0	0	0	0	0	0	0	0	0	0	0	0.000151072	0	0	7.55E-05	0	0.000377679	0	0	0.000339911	0	0.000132188	0	0	0.000151072	0	0	0	0	0	0	0	0	0	5.67E-05	0	0	0	0	0	0	0	0	0.000245491	0	0	0	321.3333333	0.70263505	5.844105631	0.986223927	100-117
8	100-117_17	0.010764313	0.024819028	0.000893109	0	0.014477766	0.002162264	0.01917834	0.001645201	0.026135188	0.00418351	0.015182852	0.00352543	0.001081132	0.008602049	0.006815832	0.000141017	0.003008367	0.037087525	0.020917552	0.004230516	0.000376046	0.002397292	0.002914356	0	0.326689856	0	0.013161606	0.019413368	0.002021247	0.028250447	0.007097866	0	0	0.0057347	0.001128138	0	0.115869136	0.01950738	0	0.008696061	0	0.000752092	0	0	0.003478424	0	0.000188023	0.00032904	0	0	0.004042493	0	0	0	0	0	0	0.000517063	0.000282034	0.00032904	0	0.000705086	0	0	0	0	0	0.000705086	0	0.073751998	0	0	9.40E-05	0	0.061530507	0.000470057	0	0.000282034	0	0.007567923	0	0	0	0.0057347	0	0.001316161	0.001128138	0	0	0.000235029	0.000282034	0.003807465	0	0.003666447	9.40E-05	0	0	0.001222149	0	0	0	0	0.000752092	0	0.000846103	0	0	0	0	0.004935602	0	0	0.000799097	0	0.001833224	0	0.000564069	0	0	0	0	0	0	0	0	0	0	0.00032904	0	0	0	0	0	0	0	0	0.00032904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000517063	0	0	0.000141017	0.000282034	0	0.000282034	0	0	0	0	0	0	0	0	0	0	0	0	0.000188023	0	0	0	0	0	0	0	0	9.40E-05	0	0.002679327	0	0	0	0	0	0	0	0	0	0	0.000188023	0	0	0	0	0	0.000376046	0	0	0	238.1935484	0.660283162	5.212815233	4.659055797	100-117
9	100-117_7	0.001186592	0.294334026	0.002610501	0.001245921	0.035894393	0.02663898	0.001245921	0.031385346	0.064609908	0.005873628	0.034292495	0.000830614	0.006348265	0.070602195	0.001008603	0.015722338	0.002907149	0.015959656	0.0084248	0.001305251	0.003203797	0.038445565	0	0	0.091842183	0.000771284	0.014061109	0.002432513	0	0	0	0	0	0.029071492	0	0.003085138	0.002195194	0.003915752	0.010975972	0.001483239	0	0.00272916	0.002491842	0.005280332	0.001601899	0.001957876	0	0.000889944	0.007297538	0.003203797	0.00557698	0.015781667	0.000533966	0.000533966	0.002907149	0	0	0.000830614	0.000474637	0.000355977	0.000474637	0	0	0	0.001008603	0	0	0.002432513	0.000533966	0	0.000533966	0	0.000593296	0	0.005517651	0	0	0	0.012399881	0	0	0	0	0	0	0	0	0.000830614	0	0	0	0	0.002254524	0.000474637	0	0	0	0	0	0.004034411	0	0	0	0	0	0	0.000533966	0	0	0	0	0	0	0.001008603	0	0	0	0	0	0	0.000949273	0.000533966	0	0	0.002254524	0	0	0	0	0.001245921	0	0	0	0	0.002076535	0	0	0.022129932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000237318	0	0.000533966	0	0	0	0	0	0.000830614	0	0	0	0	0	0	0	0	0	0	0	0	0.000237318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.5	0.80582841	5.84820931	1.019296903	100-117
10	100-117_16	0.000319034	0.153848042	0.299082164	0	0.000515363	0.003043094	0.002380485	0.002159615	0	0.00159517	0.000883479	0.001938745	0.000441739	0.000981643	0	0.002282321	0	0.003902032	0.016467066	0.001447924	0	0.000736232	0	0	0.052714244	0.003730244	0.001202513	0.001717876	0.000196329	0.010086385	0	0	0.002822224	0.002233238	0.000319034	0	0.004245607	0.003362128	4.91E-05	0	0.016614312	0.000245411	0	0	0	7.36E-05	0	0	9.82E-05	0	0.000883479	0	0	0	0	0	0.00068715	0	0	0	0	0	0	0	0	0	0	0	0.000171788	0.00272406	0	0	0.000564445	0	0.34777167	0.000147246	0.000196329	0.000294493	0.000343575	0.000564445	0.00068715	0	0.004638264	0	0	0	0.000147246	0.021350741	0	0	0	0	0.003681162	0.000147246	0	0.000343575	0	0.000736232	0.005865319	0.000196329	0	0.000147246	0	0.000736232	0	4.91E-05	0	0	0.003975655	0	0	0.000269952	0	0.000196329	0	0	4.91E-05	0.000171788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.36E-05	4.91E-05	0	0	0	0	0	0.000245411	0	0	0	0	0	0	9.82E-05	4.91E-05	0	0	0	0	0	0	0	0	0	0	0.00022087	0	0	0	0	0	0	0	0.000858938	0	0.000441739	0	0	7.36E-05	0	0	0	0	0	0.000269952	0	0	0	0	0	0	0	0	0	7.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217.0833333	0.468038705	3.632706391	0.907486417	100-117
11	100-117_15	0.017793144	0.256693511	0.016907703	0.001264915	0.014124889	0.037188515	0.00109626	0.036556057	0	0.003963402	0.008559261	0.002234684	0.065691276	0.071383396	0.001475735	0.008517097	0	0.035965763	0.050765274	0.001813045	0.000590294	0	0	0	0.001855209	0	0	0.012649155	0.003794746	0.007547329	0	0	0	0.005439136	0.000463802	0.000885441	0.011299911	0.004300713	0.109499515	0	0.002403339	0.003077961	0	0	0.000885441	0.006661888	0.000590294	0.000295147	0.001897373	0	0.005945103	0	0.002234684	0.004680187	0	0	0	0.000758949	0.000379475	0.001475735	0.002656322	0	0	0	0.000126492	0	0.000210819	0	0.000379475	0.003330944	0.006113758	0	0.001138424	0.002614159	0.01960619	0	0.003583927	0.000210819	0.014715183	0.003963402	0	0	0	0	0	0	0	0.000295147	0.000295147	0.000674622	0	0.000885441	0.002066029	0.010498798	0	0	0	0.000421638	0.009571194	0	0.00109626	0	0.000505966	0.000716785	0.000168655	0	0.000295147	0	0.001897373	0.000801113	0.000843277	0.00678838	0.002867142	0	0.000379475	0	0	0	0	0	0.000758949	0	0	0	0.000927605	0.000421638	0	0	0	0	0	0.000632458	0	0	0.003499599	0	0.000337311	0	0	0	0	0.000674622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000674622	0	0	0	0	0.000505966	0	0	0	0	0	0.000337311	0	0.001222752	0	0	0	0	0.000210819	0	0	0	8.43E-05	0	0	0.001560062	0	0	0	0	0	0	0	0.002150356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245.3333333	0.798492823	6.33734843	0.873777188	100-117
