fc3	
1	1	0.064
2	1	0.722
3	1	0.202
4	1	0.528
5	1	0.132
6	1	0.204
7	1	0.142
8	1	0.144
9	1	0.634
10	1	0.166
11	1	0.456
12	1	0.11
13	1	0.358
14	1	0.234
15	1	0.37
16	1	0.312
17	1	0.072
18	1	0.276
19	1	0.076
20	1	0.312
21	1	0.35
22	1	0.288
23	1	0.288
24	2	0.368
25	2	0.832
26	2	0.932
27	2	0.798
28	2	0.868
29	2	0.678
30	2	0.984
31	2	0.952
32	2	0.932
33	2	0.818
34	2	0.798
35	2	0.748
36	2	0.8
37	2	0.97
38	2	0.984
39	2	0.94
40	2	0.748
41	2	0.62
42	2	0.97
43	2	0.844
44	2	0.894
45	2	0.912
46	2	0.826
47	2	0.476
48	2	0.822
49	2	0.966
50	2	0.462
51	2	0.784
52	2	0.596
53	1	0.152
54	1	0.488
55	1	0.1
56	1	0.738
57	1	0.4
58	1	0.506
59	1	0.236
60	1	0.124
61	1	0.162
62	1	0.46
63	1	0.184
64	1	0.434
65	1	0.172
66	1	0.376
67	1	0.138
68	1	0.438
69	1	0.802
70	1	0.236
71	1	0.33
72	1	0.368
73	1	0.108
74	1	0.232
75	1	0.322
76	2	0.148
77	2	0.638
78	2	0.844
79	2	0.866
80	2	0.816
81	2	0.822
82	2	0.952
83	2	0.846
84	2	0.972
85	2	0.806
86	2	0.754
87	2	0.912
88	2	0.696
89	2	0.756
90	2	0.732
91	2	0.892
92	2	0.824
93	2	0.748
94	2	0.516
95	2	0.694
96	2	0.964
97	2	0.598
98	2	0.866
99	2	0.656
100	2	0.474
101	2	0.78
102	2	0.814
103	1	0.628
104	1	0.362
105	1	0.334
106	1	0.236
107	1	0.6
108	1	0.202
109	1	0.152
110	1	0.408
111	1	0.02
112	1	0.428
113	1	0.178
114	1	0.718
115	1	0.51
116	1	0.192
117	1	0.146
118	1	0.796
119	1	0.49
120	1	0.652
121	1	0.28
122	2	0.61
123	2	0.398
124	2	0.514
125	2	0.948
126	2	0.422
127	2	0.796
128	2	0.89
129	2	0.878
130	2	0.572
131	2	0.864
132	2	0.894
133	2	0.9
134	2	0.794
135	2	0.972
136	2	0.954
137	2	0.532
138	2	0.684
139	2	0.336
140	2	0.606
141	2	0.93
142	2	0.656
143	2	0.924
144	2	0.85
145	2	0.582
146	2	0.152
147	2	0.986
148	2	0.8
149	2	0.622
150	2	0.724
151	2	0.356
152	2	0.874
153	2	0.46
154	2	0.5
155	1	0.19
156	1	0.154
157	1	0.178
158	1	0.718
159	1	0.096
160	1	0.546
161	1	0.294
162	1	0.242
163	1	0.464
164	1	0.29
165	1	0.084
166	1	0.144
167	1	0.326
168	1	0.09
169	1	0.204
170	1	0.124
171	1	0.33
172	1	0.046
173	1	0.156
174	1	0.332
175	1	0.526
176	1	0.076
177	1	0.68
178	1	0.452
179	1	0.428
180	1	0.398
181	2	0.638
182	2	0.77
183	2	0.812
184	2	0.906
185	2	0.854
186	2	0.928
187	2	0.542
188	2	0.928
189	2	0.836
190	2	0.862
191	2	0.726
192	2	0.924
193	2	0.73
194	2	0.43
195	2	0.842
196	2	0.846
197	2	0.89
198	2	0.982
199	2	0.54
200	2	0.712
201	2	0.966
202	2	0.534
203	2	0.56
204	1	0.066
205	1	0.156
206	1	0.246
207	1	0.09
208	1	0.154
209	1	0.098
210	1	0.096
211	1	0.462
