	Characteristics	OR	CI	Beta	P	SE
1	p_Firmicutes	2.40428151108495e+71	7.57880729019138e+46-7.62728139561782e+95	164.360792713511	2.80027109430896e-08	28.7839401010666
2	sexmale	1082767.863	1e-04-15468632600181232	13.8950311567281	0.245090683024819	11.9298773002242
3	BMI	0.3525	0.0037-33.6898	-1.04280222719058	0.654328538303062	2.32652857311878
4	hypertensionyes	0.0079	0-7869597.247	-4.83574544618427	0.647610893414244	10.5685014742546
5	p_Bacteroidetes	0	0-0	-103.870749513942	0.000856738102608142	30.8308531978801
6	sexmale	125087.9943	0-3958078994856556	11.7367727229431	0.342168036765263	12.3355931006249
7	BMI	0.4459	0.0039-50.8913	-0.807762269066372	0.738477871099032	2.41706821101754
8	hypertensionyes	0.0016	0-3173174.7369	-6.45420948230185	0.555344718559788	10.9308431741227
9	p_Proteobacteria	0	0-0	-84.6500777959013	0.0110816605947142	33.1105653330605
10	sexmale	24284.2836	0-913390444793635	10.0975846545717	0.417022994310376	12.4237754596489
11	BMI	0.1791	0.0015-20.7663	-1.71986334150258	0.478776569414825	2.42509984021648
12	hypertensionyes	0.001	0-2386518.4668	-6.91236599618266	0.530958112810173	11.0192408926515
13	p_Verrucomicrobia	0	0-4.8061938953926e+53	-41.6247450387715	0.621851938523552	84.3018675757139
14	sexmale	21358.5179	0-1046490195225086	9.9692059059445	0.42795732777463	12.5586797870995
15	BMI	0.1778	0.0014-22.1566	-1.72714968858207	0.483519995651492	2.46188058197054
16	hypertensionyes	0.0012	0-3779782.0248	-6.68847517692904	0.548695380640466	11.1396184068762
17	p_Synergistetes	1.31961859772359e+249	8.49964363030506e+48-Inf	573.621030909246	0.0153277053010418	235.182103167735
18	sexmale	7366.125	0-287484827093491	8.90464706041532	0.474781186140077	12.4426245607301
19	BMI	0.1657	0.0014-19.3346	-1.79763743505084	0.459733336178581	2.42833312900663
20	hypertensionyes	0.0047	0-11740690.557	-5.3697316834686	0.627217733639064	11.0450524872326
21	p_Actinobacteria	0	0-1.20726095040465e+157	-22.4584490842552	0.908852755774989	195.996256530912
22	sexmale	21430.4198	0-1090420414387777	9.9725666780429	0.428509015598328	12.5779454285808
23	BMI	0.2002	0.0016-24.4777	-1.60860334717154	0.512361240722002	2.45222765470733
