	Characteristics	OR	CI	Beta	P	SE
1	p_Firmicutes	1.2469	1.1813-1.3162	0.220666053894494	3.06804961679098e-14	0.0275894129693504
2	sexmale	0.9909	0.969-1.0134	-0.00912752871316037	0.425395692979426	0.0114347900375657
3	BMI	1.0047	1.0004-1.0091	0.00473641499019847	0.0345214825024714	0.00222997815321291
4	hypertensionyes	0.99	0.9705-1.0098	-0.0100720868805599	0.32091261221593	0.0101299110065058
5	p_Bacteroidetes	1.1551	1.0883-1.226	0.144198852689867	3.30664000485377e-06	0.0303998001655361
6	sexmale	0.9831	0.9599-1.0068	-0.0170349618495204	0.162423996035892	0.0121631264232463
7	BMI	1.0029	0.9982-1.0076	0.0028534481982434	0.232178377979223	0.00238327464147037
8	hypertensionyes	0.987	0.9663-1.008	-0.0131142586505209	0.224688312366756	0.0107780166186576
9	p_Proteobacteria	0.6833	0.6505-0.7177	-0.380821383404096	1.0438295645e-38	0.0250722878793902
10	sexmale	0.9865	0.9685-1.0048	-0.0136092868623843	0.149087145675363	0.00940764592026457
11	BMI	1.0035	0.9999-1.0071	0.00348962419105029	0.0583891123280139	0.00183635648375535
12	hypertensionyes	0.9868	0.9708-1.0031	-0.0133014580374038	0.112002847963837	0.00834409129212445
13	p_Verrucomicrobia	0.7566	0.6429-0.8904	-0.278922326386303	0.000893029464728175	0.0830831485342097
14	sexmale	0.9861	0.9624-1.0103	-0.0140393417740656	0.257609714465694	0.0123771238781637
15	BMI	1.0032	0.9985-1.008	0.00320512187104246	0.187547371421188	0.00242629013979603
16	hypertensionyes	0.988	0.9669-1.0095	-0.0121091336225254	0.270954158011127	0.0109785773118452
17	p_Synergistetes	0.7756	0.4864-1.2369	-0.254082309039362	0.286823481646856	0.238108505525822
18	sexmale	0.9861	0.962-1.0107	-0.0140462773532132	0.265772654261743	0.0125974498019575
19	BMI	1.0041	0.9992-1.0089	0.00405295429508587	0.100333739994592	0.0024585492028457
20	hypertensionyes	0.9868	0.9654-1.0087	-0.0132937141551264	0.235495229241193	0.0111824875522672
21	p_Actinobacteria	1.0002	0.6801-1.471	0.000187968208705239	0.999238638239169	0.196814753544643
22	sexmale	0.9856	0.9615-1.0103	-0.0144887392295471	0.252278450004207	0.0126304719969673
23	BMI	1.004	0.9991-1.0088	0.00397106368784653	0.107915168056866	0.00246246836566729
24	hypertensionyes	0.9874	0.966-1.0093	-0.0126717045560657	0.259244491544581	0.0112099184162326
25	p_Fusobacteria	0.9513	0.7297-1.2403	-0.0498838464511317	0.712648981336176	0.135310216589398
26	sexmale	0.9854	0.9613-1.0101	-0.0146943906885227	0.245414268541842	0.0126248568407864
27	BMI	1.004	0.9991-1.0088	0.00395509794944077	0.109264393875551	0.00246199235035779
28	hypertensionyes	0.988	0.9663-1.0101	-0.0121105913309327	0.284306898804736	0.0112899681965156
29	p_Euryarchaeota	0.7188	0.1737-2.9746	-0.330203020171637	0.648970690876935	0.724656532343191
30	sexmale	0.9857	0.9616-1.0103	-0.014422234628976	0.253753367647881	0.0126117218351775
31	BMI	1.0039	0.9991-1.0088	0.00392072300440444	0.112626142996778	0.00246378611986082
32	hypertensionyes	0.9878	0.9663-1.0097	-0.0123031928627521	0.273523477492253	0.0112145788353385
33	p_Tenericutes	2.813	0.0597-132.6267	1.03425265726398	0.599236306062287	1.9659619635534
34	sexmale	0.9853	0.9613-1.01	-0.0147625119463162	0.243063057842033	0.0126201657017685
35	BMI	1.004	0.9991-1.0088	0.00395976028038787	0.108722112209227	0.00246110476887424
36	hypertensionyes	0.9869	0.9655-1.0089	-0.0131588227837113	0.241929607252376	0.0112221039090512
37	p_Lentisphaerae	7.5887	0.0845-681.3419	2.02665742868354	0.377845651939565	2.29459530914163
38	sexmale	0.9846	0.9605-1.0093	-0.0154980837447664	0.221525968627288	0.012650213946067
39	BMI	1.004	0.9991-1.0088	0.00394950137914153	0.109334027171647	0.00245899370705112
40	hypertensionyes	0.9874	0.966-1.0092	-0.0127062910953741	0.256438167427431	0.011174289733765
