	Characteristics	OR	CI	Beta	P	SE
1	p_Firmicutes	12.032	7.2643-19.9288	2.48757184651296	2.5389600975012e-19	0.257446547543475
2	sexmale	1.0101	0.8194-1.245	0.0100117016487686	0.925310353460026	0.106702060689954
3	BMI	1.0335	0.9922-1.0765	0.0329571142386382	0.114329882708596	0.0208087130117562
4	hypertensionyes	0.8996	0.7475-1.0827	-0.105815540376081	0.263883754157085	0.0945257740150088
5	p_Bacteroidetes	1.6673	0.917-3.0317	0.511220545933459	0.0948419328046069	0.305044882126749
6	sexmale	0.9423	0.7418-1.1969	-0.0594477462830725	0.626573354527055	0.122050126838605
7	BMI	1.0206	0.9738-1.0696	0.0203673482111791	0.395106751366836	0.0239148194436882
8	hypertensionyes	0.8722	0.7056-1.0782	-0.136695050557202	0.207275850673951	0.10815132965005
9	p_Proteobacteria	0.0386	0.023-0.0648	-3.25502564892604	2.87987833038227e-28	0.264512059963817
10	sexmale	0.958	0.7886-1.1637	-0.0429066881280752	0.66584050958154	0.0992504478949014
11	BMI	1.0204	0.9824-1.0599	0.0202143467333267	0.297634655500198	0.019373518630716
12	hypertensionyes	0.8689	0.7312-1.0326	-0.140505583259648	0.111556949029905	0.0880299710510372
13	p_Verrucomicrobia	0.1103	0.0225-0.5422	-2.20411757625306	0.00705276708378337	0.812211881854035
14	sexmale	0.9542	0.7527-1.2096	-0.0468720663619313	0.698759526296203	0.120997425523475
15	BMI	1.0184	0.9722-1.0669	0.0182767429876465	0.441604365673027	0.0237191502143927
16	hypertensionyes	0.8775	0.711-1.0829	-0.130677675295188	0.22437530460734	0.107325385422318
17	p_Synergistetes	1.6944	0.0181-158.9227	0.52733983062373	0.820111883693845	2.31687667848349
18	sexmale	0.95	0.7471-1.2079	-0.0513357650005389	0.675671467076104	0.122577467739205
19	BMI	1.0245	0.9775-1.0736	0.0241598090569186	0.313378847970415	0.0239225192665772
20	hypertensionyes	0.8747	0.7067-1.0827	-0.133838774186498	0.219686398924823	0.108809404183465
21	p_Actinobacteria	1.4133	0.0334-59.8715	0.345904306088861	0.856516893562292	1.91137581519424
22	sexmale	0.9498	0.7468-1.2079	-0.0515020205801005	0.674891401944765	0.122661427940236
23	BMI	1.0246	0.9776-1.0737	0.0242644487173414	0.311126876657253	0.0239143783433377
24	hypertensionyes	0.8746	0.7066-1.0827	-0.133933857074183	0.219597482004084	0.108865654455257
